,c_name,d_name,cdr_hat,cdr_all,cluster,c_cluster,d_cluster
0,c1_5,d1_1,0.999999,0.999999,2,1 & 2,2
1,c1_5,d1_2,0.999971,0.999971,2,1 & 2,2
2,c1_5,d1_3,0.999929,0.999929,2,1 & 2,2
3,c1_5,d1_4,0.986758,0.986758,2,1 & 2,2
4,c1_5,d1_5,0.99996,0.99996,2,1 & 2,2
5,c1_5,d1_6,0.999951,0.999951,2,1 & 2,2
6,c1_5,d1_7,0.999247,0.999247,2,1 & 2,2
7,c1_5,d1_8,0.996018,0.996018,2,1 & 2,2
8,c1_5,d1_9,0.999998,0.999998,2,1 & 2,2
9,c1_5,d1_10,0.999487,0.999487,2,1 & 2,2
10,c1_5,d2_1,0.997237,0.997237,1,1 & 2,1
11,c1_5,d2_2,0.99996,0.99996,1,1 & 2,1
12,c1_5,d2_3,0.999947,0.999947,1,1 & 2,1
13,c1_5,d2_4,0.997855,0.997855,1,1 & 2,1
14,c1_5,d2_5,0.999756,0.999756,1,1 & 2,1
15,c1_5,d2_6,0.999835,0.999835,1,1 & 2,1
16,c1_5,d2_7,0.999978,0.999978,1,1 & 2,1
17,c1_5,d2_8,0.992241,0.992241,1,1 & 2,1
18,c1_5,d2_9,0.999664,0.999664,1,1 & 2,1
19,c1_5,d2_10,0.999291,0.999291,1,1 & 2,1
20,c1_5,d0_1,0.06251666666666668,0.11364 & 0.072938 & 0.000972,0 & 1 & 2,1 & 2,0
21,c1_5,d0_2,0.188539,0.13219 & 0.165021 & 0.268406,0 & 1 & 2,1 & 2,0
22,c1_5,d0_3,0.15335533333333332,0.161629 & 0.22369 & 0.074747,0 & 1 & 2,1 & 2,0
23,c1_5,d0_4,0.12041600000000001,0.175705 & 0.183155 & 0.002388,0 & 1 & 2,1 & 2,0
24,c1_5,d0_5,0.17684266666666668,0.14383 & 0.178125 & 0.208573,0 & 1 & 2,1 & 2,0
25,c1_5,d0_6,0.07625266666666668,0.114051 & 0.113956 & 0.000751,0 & 1 & 2,1 & 2,0
26,c1_5,d0_7,0.14185966666666663,0.207057 & 0.167343 & 0.051179,0 & 1 & 2,1 & 2,0
27,c1_5,d0_8,0.15392866666666666,0.086947 & 0.16237 & 0.212469,0 & 1 & 2,1 & 2,0
28,c1_5,d0_9,0.03337533333333333,0.062478 & 0.037549 & 9.9e-05,0 & 1 & 2,1 & 2,0
29,c1_5,d0_10,0.3389543333333333,0.171901 & 0.42313 & 0.421832,0 & 1 & 2,1 & 2,0
30,c0_36,d1_1,0.0370855,0.025712 & 0.048459,0 & 2,0,2
31,c0_36,d1_2,0.022834,0.017884 & 0.027784,0 & 2,0,2
32,c0_36,d1_3,0.0245295,0.013746 & 0.035313,0 & 2,0,2
33,c0_36,d1_4,0.029179999999999998,0.003577 & 0.054783,0 & 2,0,2
34,c0_36,d1_5,0.027836000000000003,0.000433 & 0.055239,0 & 2,0,2
35,c0_36,d1_6,0.14091150000000002,0.066031 & 0.215792,0 & 2,0,2
36,c0_36,d1_7,0.0911085,0.030502 & 0.151715,0 & 2,0,2
